,Does he have health probems ?,Does he have social family problems?,Is there a variation between his real qualifications and its results?,Does he have any difficulties?,Does your child avoid activities that require reading to complete?,he ?it fast/slow while reading ?,"When reading aloud, does your child repeat words, change their order, or mix up similar letters (?\ or ?\? or ?\? or p/b or f/v or k/g/jÉ) without notice?",Does he have trouble reading unknown words?,Does he face difficulty understanding what he read?,Does he reflect numbers? {Ex 81 -> 18},Does he have trouble writing numbers clearly and distinctly from letters?,Does he make misspellings in his homework?,Is he having trouble writing on the line and inside the margins?,Does he have a problem copying?,Does it confuse symbols and/or mathematical operations?,Does he have trouble comparing the relative size of integers and/or fractions?,Does he have difficulties with concepts related to time and/or money?,Is it difficult to understand the statement of calculations and solve it?,Is he having difficulties in calculating? {Facing problems in performing arithmetic operations such as addition and subtraction ...},Is he having trouble maintaining attention for more than 15 minutes?,It takes a long time to complete simple tasks?,Does he have a hard time bearing boredom or strenuous tasks?,TypeTrouble
726,No,No,No,In all materials,Sometimes,Average,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
727,No,Yeah,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
728,Yeah,No,No,In all materials,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Type_dyslexie
729,Yeah,No,Yeah,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dyscalculie
730,No,No,Yeah,In particular article,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dysgraphie
731,Yeah,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
732,No,No,No,In particular article,Repeatedly / always,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Type_dysgraphie
733,Yeah,Yeah,No,In particular article,Sometimes,Fast,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
734,No,Yeah,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
735,Yeah,Yeah,No,In particular article,Rarely / never,Fast,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Type_dyscalculie
736,No,No,No,In particular article,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
737,Yeah,Yeah,Yeah,In all materials,Rarely / never,Fast,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
738,Yeah,Yeah,Yeah,In all materials,Rarely / never,Average,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
739,Yeah,Yeah,Yeah,In all materials,Sometimes,Average,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
740,Yeah,Yeah,No,In all materials,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
741,Yeah,Yeah,No,In all materials,Sometimes,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dyslexie
742,Yeah,No,No,In all materials,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
743,No,Yeah,Yeah,In all materials,Sometimes,Slow,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
744,Yeah,No,No,In all materials,Rarely / never,Slow,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
745,No,Yeah,No,In particular article,Sometimes,Slow,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Concentration
746,No,No,Yeah,In particular article,Sometimes,Average,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
747,Yeah,No,No,In all materials,Sometimes,Slow,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
748,No,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Type_dyslexie
749,Yeah,No,Yeah,In all materials,Repeatedly / always,Fast,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
750,Yeah,Yeah,Yeah,In all materials,Rarely / never,Slow,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Type_dyscalculie
751,No,No,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Type_dysgraphie
752,No,No,Yeah,In particular article,Sometimes,Slow,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Type_dyslexie
753,No,No,Yeah,In particular article,Sometimes,Average,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Concentration
754,No,No,No,In all materials,Repeatedly / always,Average,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
755,No,No,Yeah,In particular article,Rarely / never,Average,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
756,Yeah,No,No,In all materials,Repeatedly / always,Slow,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
757,Yeah,Yeah,No,In particular article,Repeatedly / always,Fast,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
758,No,No,Yeah,In particular article,Repeatedly / always,Slow,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Type_dyslexie
759,Yeah,Yeah,No,In all materials,Sometimes,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
760,No,Yeah,No,In particular article,Repeatedly / always,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
761,No,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
762,No,Yeah,No,In all materials,Repeatedly / always,Fast,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
763,No,No,No,In all materials,Rarely / never,Average,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Type_dysgraphie
764,No,Yeah,No,In particular article,Repeatedly / always,Slow,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Concentration
765,No,No,Yeah,In particular article,Rarely / never,Fast,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dysgraphie
766,No,Yeah,No,In all materials,Rarely / never,Slow,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Type_dyscalculie
767,Yeah,No,No,In particular article,Repeatedly / always,Average,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Type_dyslexie
768,Yeah,No,No,In particular article,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Type_dyscalculie
769,Yeah,Yeah,No,In particular article,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Type_dyslexie
770,Yeah,No,Yeah,In particular article,Repeatedly / always,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Type_dyscalculie
771,No,No,No,In particular article,Repeatedly / always,Slow,Rarely / never,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
772,Yeah,Yeah,No,In all materials,Rarely / never,Slow,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Type_dyslexie
773,No,No,No,In particular article,Sometimes,Slow,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Concentration
774,No,Yeah,Yeah,In particular article,Rarely / never,Slow,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
775,No,No,No,In all materials,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
776,No,Yeah,No,In particular article,Rarely / never,Fast,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Type_dysgraphie
777,No,Yeah,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
778,Yeah,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Concentration
779,No,No,Yeah,In particular article,Sometimes,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Concentration
780,No,No,No,In all materials,Sometimes,Average,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Type_dyscalculie
781,No,Yeah,No,In particular article,Sometimes,Fast,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
782,Yeah,No,Yeah,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dyslexie
783,No,Yeah,No,In particular article,Rarely / never,Fast,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Type_dysgraphie
784,No,No,Yeah,In all materials,Repeatedly / always,Average,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Concentration
785,Yeah,No,Yeah,In particular article,Sometimes,Average,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Type_dyslexie
786,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Type_dyscalculie
787,No,No,No,In all materials,Sometimes,Slow,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Type_dyslexie
788,Yeah,No,No,In particular article,Rarely / never,Average,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dysgraphie
789,No,Yeah,No,In all materials,Repeatedly / always,Slow,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Type_dyslexie
790,Yeah,No,No,In all materials,Repeatedly / always,Average,Sometimes,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Concentration
791,Yeah,No,Yeah,In particular article,Repeatedly / always,Average,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Type_dyslexie
792,No,No,Yeah,In all materials,Repeatedly / always,Average,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
793,No,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Type_dysgraphie
794,No,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Repeatedly / always,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Type_dysgraphie
795,No,No,Yeah,In all materials,Sometimes,Fast,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Type_dysgraphie
796,Yeah,Yeah,No,In particular article,Sometimes,Slow,Rarely / never,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Type_dyscalculie
797,Yeah,Yeah,No,In particular article,Sometimes,Fast,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Type_dyslexie
798,Yeah,Yeah,Yeah,In all materials,Rarely / never,Slow,Repeatedly / always,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
799,Yeah,Yeah,No,In particular article,Sometimes,Average,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Type_dyslexie
800,Yeah,Yeah,Yeah,In particular article,Repeatedly / always,Average,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Concentration
801,No,No,Yeah,In particular article,Repeatedly / always,Slow,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Repeatedly / always,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Type_dysgraphie
802,No,No,No,In all materials,Sometimes,Average,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
803,No,Yeah,No,In all materials,Rarely / never,Average,Rarely / never,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Sometimes,Rarely / never,Sometimes,Type_dysgraphie
804,No,Yeah,No,In all materials,Repeatedly / always,Slow,Repeatedly / always,Sometimes,Sometimes,Sometimes,Repeatedly / always,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Sometimes,Sometimes,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Type_dyslexie
805,Yeah,Yeah,Yeah,In particular article,Sometimes,Slow,Sometimes,Rarely / never,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
806,Yeah,Yeah,No,In all materials,Rarely / never,Fast,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Repeatedly / always,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dyscalculie
807,No,Yeah,No,In particular article,Repeatedly / always,Slow,Sometimes,Rarely / never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Type_dyslexie
808,No,No,Yeah,In particular article,Repeatedly / always,Fast,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Type_dyslexie
809,Yeah,No,Yeah,In all materials,Sometimes,Average,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Sometimes,Sometimes,Rarely / never,Rarely / never,Rarely / never,Sometimes,Rarely / never,Rarely / never,Type_dyslexie
810,Yeah,No,No,In particular article,Rarely / never,Fast,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Rarely / never,Repeatedly / always,Repeatedly / always,Concentration
811,Yeah,No,No,In particular article,Rarely / never,Average,Rarely / never,Sometimes,Rarely / never,Repeatedly / always,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Rarely / never,Rarely / never,Sometimes,Rarely / never,Sometimes,Sometimes,Repeatedly / always,Concentration
812,No,Yeah,Yeah,In particular article,Repeatedly / always,Fast,Repeatedly / always,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Rarely / never,Sometimes,Repeatedly / always,Sometimes,Repeatedly / always,Sometimes,Rarely / never,Rarely / never,Repeatedly / always,Sometimes,Rarely / never,Type_dysgraphie
